  DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE FORMYLPROLINATE;Disodium Tetramethylhexadecenylcysteine Formylprolinate is the organic compound that conforms to the formula:(
 (LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT ; (Liquidambar Styraciflua/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract is the extract of the fruit of  Liquidambar styraciflua  and  Tribulus terrestris  , and the roots of  Paeonia lactiflora. 
 ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER; Acrylates/VA/Vinyl Neodecanoate Copolymer is a copolymer of Vinyl Acetate, vinyl neodecanoate and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters. 
 ASTROCARYUM VULGARE SEED BUTTER ;Astrocaryum Vulgare Seed Butter is the fat obtained from the seeds of  Astrocaryum vulgare, Palmae 
 BARLEY SH-POLYPEPTIDE-17 ;Barley sh-Polypeptide-17 is a single chain recombinant human peptide, produced by barley plants after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting gene is synthesized to be identical to a human gene which codes for Interleukin 1 Alpha. It contains a maximum of 272 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids. 
 GOSSYPIUM HIRSUTUM SEED EXTRACT;" Gossypium Hirsutum Seed Extract is the extract of the seeds of Gossypium hirsutum, Malvaceae."
 HYDROLYZED (CITRUS AURANTIUM AMARA /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUIT/MENTHA ARVENSIS LEAF/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS ROOT) EXTRACT;" Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis."
 HYDROLYZED FORSYTHIA VIRIDISSIMA FRUIT/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) ROOT EXTRACT ;Hydrolyzed Forsythia Viridissima Fruit/(Cimicifuga Dahurica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Pueraria Lobata) Root Extract is the hydrolysate of an extract of the fruit of Forsythia viridissima and the roots of Cimicifuga dahurica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , and Pueraria lobata derived by acid, enzyme, or other method of hydrolysis.
 ICTASOL;Ichthyolic acid, sodium salt
 ISOOCTANOYL TETRAPEPTIDE-25 ;Isooctanoyl Tetrapeptide-25 is the product obtained by the reaction of Tetrapeptide-25  with a branched chain octanoic acid. 
